10,10,23,85.000000
510,1995,3962,4673.000000
1010,6369,12762,4389.000000
1510,13265,26832,2992.000000
2010,22948,46303,4661.000000
2510,35271,71509,5120.000000
3010,50514,102558,5786.000000
3510,68668,139572,6932.000000
4010,90078,182502,7901.000000
4510,114225,231544,9195.000000
5010,141381,286893,9544.000000
5510,171562,348499,10482.000000
6010,204991,416379,11308.000000
6510,241415,490728,12114.000000
7010,281162,571591,12961.000000
7510,324139,658798,13892.000000
8010,370669,752610,14836.000000
8510,420382,853036,15745.000000
9010,472958,960174,16688.000000
9510,528863,1074048,17618.000000
10010,588093,1194667,18565.000000
10510,650675,1322098,20456.000000
11010,716521,1456163,21680.000000
11510,785755,1597180,21828.000000
12010,858533,1745028,22324.000000
12510,934977,1899656,23181.000000
13010,1014489,2061387,24120.000000
13510,1097291,2229935,25062.000000
14010,1183601,2405475,26003.000000
14510,1273709,2587949,26965.000000
15010,1367106,2777327,27862.000000
15510,1464293,2973591,30620.000000
16010,1565438,3177076,30113.000000
16510,1670387,3387634,31143.000000
17010,1778223,3605299,31736.000000
17510,1889315,3830216,32568.000000
18010,2003808,4062256,33521.000000
18510,2121801,4301564,34442.000000
19010,2242947,4548211,35344.000000
19510,2367630,4802154,38488.000000
